"CALL_ID","MASTER_CUSTOMER_ID","CALL_DATE","DURATION_SECONDS","AGENT_NAME","CALL_TYPE","SENTIMENT","MP4_FILE_PATH","TRANSCRIPTION","SUMMARY","WAIT_SECONDS","WRAP_UP_SECONDS","RESOLVED_FIRST_CALL","CSAT_SCORE","NPS_SCORE","CHANNEL","ABANDONED","KEYWORDS"
"CALL-115","SF-SF-0030Z00003XH4ozQAD","2026-05-27 13:00:00.000",535,"James Kelly","Outbound","Neutral","\N","Customer called about billing inquiry. Agent reviewed account and provided clarification on recent charges.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",35,30,true,4.0,42,"Phone",false,"cancellation,refund,dissatisfied"
"CALL-116","SF-SF-003VI00000BMUiiYAH","2026-05-14 10:00:00.000",572,"Maria Garcia","Inbound","Positive","\N","Follow-up call regarding claim status. Agent confirmed processing timeline and next steps.","Customer satisfied with resolution. No further action required. Positive interaction noted.",15,45,true,4.7,98,"Phone",false,"login,password,access,technical"
"CALL-117","SF-SF-0033r00003wlAoKAAU","2026-05-01 17:00:00.000",69,"David Chen","Inbound","Negative","\N","Customer requested policy changes. Agent walked through options and updated preferences.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",87,66,false,2.2,-26,"Phone",false,"cancellation,refund,dissatisfied"
"CALL-119","SF-SF-003VI00000ehKFnYAM","2026-04-05 11:00:00.000",143,"Patrick Murphy","Inbound","Positive","\N","Renewal discussion. Agent presented upgrade options and confirmed existing coverage details.","Customer satisfied with resolution. No further action required. Positive interaction noted.",6,56,true,4.6,65,"Phone",false,"complaint,escalation,manager"
"CALL-120","SF-SF-0033r00003xvaH8AAI","2026-03-23 08:00:00.000",180,"Sarah O'Brien","Inbound","Positive","\N","Customer called about billing inquiry. Agent reviewed account and provided clarification on recent charges.","Customer satisfied with resolution. No further action required. Positive interaction noted.",32,108,true,4.9,90,"Phone",false,"policy,renewal,upgrade,coverage"
"CALL-121","SF-SF-003VI00000achW8YAI","2026-03-10 15:00:00.000",217,"James Kelly","Outbound","Negative","\N","Follow-up call regarding claim status. Agent confirmed processing timeline and next steps.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",8,121,false,1.8,-40,"Phone",true,"new-customer,onboarding,setup"
"CALL-122","SF-SF-0033r00003vzsVQAAY","2026-02-25 12:00:00.000",254,"Maria Garcia","Inbound","Neutral","\N","Customer requested policy changes. Agent walked through options and updated preferences.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",9,89,true,3.7,24,"Email",false,"policy,renewal,upgrade,coverage"
"CALL-123","SF-SF-003Do000009pfW7IAI","2026-02-12 09:00:00.000",291,"David Chen","Inbound","Positive","\N","Technical support call - customer had login issues. Agent reset credentials and verified access.","Customer satisfied with resolution. No further action required. Positive interaction noted.",19,61,true,4.4,90,"Phone",false,"complaint,escalation,manager"
"CALL-124","SF-SF-003VI00000eszaXYAQ","2026-01-30 16:00:00.000",328,"Emma Walsh","Outbound","Negative","\N","Renewal discussion. Agent presented upgrade options and confirmed existing coverage details.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",60,129,false,1.0,-23,"Email",false,"policy,renewal,upgrade,coverage"
"CALL-125","SF-SF-003VI00000tVrmmYAC","2026-01-17 13:00:00.000",365,"Patrick Murphy","Inbound","Neutral","\N","Customer called about billing inquiry. Agent reviewed account and provided clarification on recent charges.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",16,135,false,2.9,16,"Phone",false,"claim,status,processing,timeline"
"CALL-126","SF-SF-0033r00003tEac5AAC","2026-01-04 10:00:00.000",402,"Sarah O'Brien","Inbound","Positive","\N","Follow-up call regarding claim status. Agent confirmed processing timeline and next steps.","Customer satisfied with resolution. No further action required. Positive interaction noted.",102,68,true,4.1,73,"Phone",false,"complaint,escalation,manager"
"CALL-127","SF-SF-003Do00000Pwpu8IAB","2025-12-22 17:00:00.000",439,"James Kelly","Outbound","Negative","\N","Customer requested policy changes. Agent walked through options and updated preferences.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",6,122,false,1.8,-45,"Phone",false,"billing,invoice,payment,charges"
"CALL-128","SF-SF-003VI00000OXA1SYAX","2025-12-09 14:00:00.000",476,"Maria Garcia","Inbound","Neutral","\N","Technical support call - customer had login issues. Agent reset credentials and verified access.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",33,113,false,2.8,36,"Phone",false,"feedback,satisfaction,recommendation"
"CALL-129","SF-SF-003VI00000iSFFmYAO","2025-11-26 11:00:00.000",513,"David Chen","Inbound","Positive","\N","Renewal discussion. Agent presented upgrade options and confirmed existing coverage details.","Customer satisfied with resolution. No further action required. Positive interaction noted.",102,52,true,4.7,79,"Chat",false,"claim,status,processing,timeline"
"CALL-130","SF-SF-003Do00000NUwxrIAD","2025-11-13 08:00:00.000",550,"Emma Walsh","Outbound","Positive","\N","Customer called about billing inquiry. Agent reviewed account and provided clarification on recent charges.","Customer satisfied with resolution. No further action required. Positive interaction noted.",41,123,true,4.7,64,"Phone",false,"billing,invoice,payment,charges"
"CALL-131","SF-SF-003VI00000JbZ2WYAV","2025-10-31 15:00:00.000",587,"Patrick Murphy","Inbound","Negative","\N","Follow-up call regarding claim status. Agent confirmed processing timeline and next steps.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",15,140,false,1.4,-15,"Chat",false,"login,password,access,technical"
"CALL-132","SF-SF-003VI000011dVnfYAE","2025-10-18 12:00:00.000",84,"Sarah O'Brien","Inbound","Neutral","\N","Customer requested policy changes. Agent walked through options and updated preferences.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",41,88,true,4.2,21,"Chat",false,"feedback,satisfaction,recommendation"
"CALL-133","SF-SF-003VI00000PDuZ6YAL","2025-10-05 09:00:00.000",121,"James Kelly","Outbound","Positive","\N","Technical support call - customer had login issues. Agent reset credentials and verified access.","Customer satisfied with resolution. No further action required. Positive interaction noted.",40,120,true,4.6,73,"Phone",false,"policy,renewal,upgrade,coverage"
"CALL-134","SF-SF-003Do00000K5DKnIAN","2025-09-22 16:00:00.000",158,"Maria Garcia","Inbound","Negative","\N","Renewal discussion. Agent presented upgrade options and confirmed existing coverage details.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",15,79,false,1.1,-31,"Chat",false,"feedback,satisfaction,recommendation"
"CALL-135","SF-SF-0030Z00003XH4ozQAD","2025-09-09 13:00:00.000",195,"David Chen","Inbound","Neutral","\N","Customer called about billing inquiry. Agent reviewed account and provided clarification on recent charges.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",35,146,true,3.6,19,"Email",false,"claim,status,processing,timeline"
