"ACTIVITY_ID","MASTER_CUSTOMER_ID","ACTIVITY_TYPE","PAGE_URL","SESSION_DURATION_SECONDS","PAGES_VIEWED","CHANNEL","DEVICE_TYPE","BROWSER","ACTIVITY_DATE","FORM_SUBMITTED","FORM_NAME","CAMPAIGN_SOURCE","CAMPAIGN_MEDIUM"
"WA-001","SF-00009001","PAGE_VIEW","/pricing",245,8,"Organic Search","Desktop","Chrome","2026-04-15 10:10:00.000 Z",false,"\N","google","organic"
"WA-002","SF-00009001","FORM_SUBMIT","/contact-us",180,5,"Organic Search","Desktop","Chrome","2026-04-15 10:23:00.000 Z",true,"Contact Sales","google","organic"
"WA-003","SF-00009001","LIVE_CHAT","/support",420,3,"Direct","Mobile","Safari","2026-05-01 14:45:00.000 Z",false,"\N","\N","direct"
"WA-004","SF-00009001","PAGE_VIEW","/documentation/api",890,12,"Email","Desktop","Firefox","2026-05-15 09:30:00.000 Z",false,"\N","newsletter","email"
"WA-005","SF-00009001","DOWNLOAD","/resources/whitepaper-data-mesh",60,2,"LinkedIn","Desktop","Chrome","2026-05-20 11:00:00.000 Z",true,"Whitepaper Download","linkedin","paid_social"
"WA-006","SF-WEB-003","PAGE_VIEW","/enterprise/solutions",320,6,"Paid Search","Desktop","Edge","2026-03-20 09:00:00.000 Z",false,"\N","google","cpc"
"WA-007","SF-WEB-003","FORM_SUBMIT","/demo-request",150,4,"Paid Search","Desktop","Edge","2026-03-20 09:15:00.000 Z",true,"Demo Request","google","cpc"
"WA-008","SF-WEB-005","PAGE_VIEW","/integrations/snowflake",560,9,"Organic Search","Desktop","Chrome","2026-02-28 10:30:00.000 Z",false,"\N","google","organic"
"WA-009","SF-WEB-005","FORM_SUBMIT","/free-trial",200,7,"Organic Search","Desktop","Chrome","2026-02-28 11:00:00.000 Z",true,"Free Trial Signup","google","organic"
"WA-010","SF-WEB-007","PAGE_VIEW","/security/compliance",410,5,"Referral","Desktop","Safari","2026-01-10 13:00:00.000 Z",false,"\N","partner-portal","referral"
"WA-011","SF-WEB-007","FORM_SUBMIT","/contact-us",90,3,"Referral","Desktop","Safari","2026-01-10 13:20:00.000 Z",true,"Contact Sales","partner-portal","referral"
"WA-012","SF-WEB-008","PAGE_VIEW","/pricing/enterprise",300,4,"Email","Desktop","Chrome","2026-02-05 09:45:00.000 Z",false,"\N","outreach","email"
"WA-013","SF-WEB-008","FORM_SUBMIT","/demo-request",120,3,"Email","Desktop","Chrome","2026-02-05 10:00:00.000 Z",true,"Demo Request","outreach","email"
"WA-014","SF-WEB-011","PAGE_VIEW","/platform/data-sharing",670,11,"Organic Search","Desktop","Chrome","2026-05-10 09:00:00.000 Z",false,"\N","google","organic"
"WA-015","SF-WEB-011","FORM_SUBMIT","/partner-program",180,5,"Organic Search","Desktop","Chrome","2026-05-10 09:30:00.000 Z",true,"Partner Application","google","organic"
"WA-DJ-001","SF-00009050","PAGE_VIEW","/platform/data-sharing",480,7,"Organic Search","Desktop","Chrome","2026-01-20 11:00:00.000 Z",false,"\N","google","organic"
"WA-DJ-002","SF-00009050","FORM_SUBMIT","/contact-us",120,4,"Organic Search","Desktop","Chrome","2026-01-20 11:30:00.000 Z",true,"Contact Sales","google","organic"
"WA-DJ-003","SF-00009050","PAGE_VIEW","/documentation/snowpipe",920,15,"Direct","Desktop","Firefox","2026-02-14 08:00:00.000 Z",false,"\N","\N","direct"
"WA-DJ-004","SF-00009050","LIVE_CHAT","/support",180,2,"Direct","Mobile","Safari","2026-03-05 09:15:00.000 Z",false,"\N","\N","direct"
"WA-DJ-005","SF-00009050","PAGE_VIEW","/cortex-ai/overview",350,6,"Email","Desktop","Chrome","2026-03-20 10:00:00.000 Z",false,"\N","success-team","email"
"WA-DJ-006","SF-00009050","DOWNLOAD","/resources/cortex-ai-whitepaper",45,2,"Email","Desktop","Chrome","2026-03-20 10:15:00.000 Z",true,"Whitepaper Download","success-team","email"
"WA-DJ-007","SF-00009050","PAGE_VIEW","/pricing/business-critical",280,4,"Direct","Desktop","Chrome","2026-04-12 13:45:00.000 Z",false,"\N","\N","direct"
"WA-DJ-008","SF-00009050","FORM_SUBMIT","/upgrade-request",90,3,"Direct","Desktop","Chrome","2026-04-12 14:00:00.000 Z",true,"Upgrade Request","\N","direct"
