"WORD_ID","WORD","CATEGORY","SEVERITY"
1,"damn","Profanity","MEDIUM"
2,"hell","Profanity","MEDIUM"
3,"crap","Profanity","MEDIUM"
4,"bastard","Profanity","HIGH"
5,"idiot","Profanity","HIGH"
6,"stupid","Profanity","MEDIUM"
7,"moron","Profanity","HIGH"
8,"jerk","Profanity","MEDIUM"
9,"fool","Profanity","MEDIUM"
10,"dumb","Profanity","MEDIUM"
11,"shut up","Profanity","MEDIUM"
12,"piss","Profanity","HIGH"
13,"screw you","Profanity","HIGH"
14,"bullshit","Profanity","HIGH"
15,"asshole","Profanity","HIGH"
16,"bloody","Profanity","MEDIUM"
17,"bugger","Profanity","MEDIUM"
18,"bollocks","Profanity","HIGH"
19,"wanker","Profanity","HIGH"
20,"git","Profanity","MEDIUM"
21,"sod off","Profanity","HIGH"
22,"tosser","Profanity","HIGH"
23,"prick","Profanity","HIGH"
24,"dickhead","Profanity","HIGH"
25,"arse","Profanity","MEDIUM"
26,"bitch","Profanity","HIGH"
27,"slag","Profanity","HIGH"
28,"twat","Profanity","HIGH"
29,"muppet","Profanity","MEDIUM"
30,"numpty","Profanity","MEDIUM"
31,"pillock","Profanity","MEDIUM"
32,"plonker","Profanity","MEDIUM"
33,"cretin","Profanity","HIGH"
34,"halfwit","Profanity","MEDIUM"
35,"dimwit","Profanity","MEDIUM"
36,"nitwit","Profanity","MEDIUM"
37,"jackass","Profanity","HIGH"
38,"dirtbag","Profanity","HIGH"
39,"scumbag","Profanity","HIGH"
40,"lowlife","Profanity","HIGH"
41,"trash","Profanity","MEDIUM"
42,"worthless","Profanity","MEDIUM"
43,"pathetic","Profanity","MEDIUM"
44,"disgusting","Profanity","MEDIUM"
45,"revolting","Profanity","MEDIUM"
46,"offensive","Profanity","MEDIUM"
47,"vulgar","Profanity","MEDIUM"
48,"obscene","Profanity","HIGH"
49,"profane","Profanity","HIGH"
50,"abusive","Profanity","HIGH"
51,"hostile","Profanity","MEDIUM"
52,"aggressive","Profanity","MEDIUM"
53,"threatening","Profanity","HIGH"
54,"intimidating","Profanity","HIGH"
55,"harassing","Profanity","HIGH"
56,"degrading","Profanity","HIGH"
57,"derogatory","Profanity","HIGH"
58,"insulting","Profanity","HIGH"
59,"disrespectful","Profanity","MEDIUM"
60,"rude","Profanity","MEDIUM"
61,"obnoxious","Profanity","MEDIUM"
62,"vile","Profanity","HIGH"
63,"nasty","Profanity","MEDIUM"
64,"horrible","Profanity","MEDIUM"
65,"terrible","Profanity","LOW"
66,"awful","Profanity","LOW"
67,"rubbish","Profanity","LOW"
68,"useless","Profanity","MEDIUM"
69,"incompetent","Profanity","MEDIUM"
70,"hopeless","Profanity","MEDIUM"
71,"lazy","Profanity","MEDIUM"
72,"arrogant","Profanity","MEDIUM"
73,"condescending","Profanity","MEDIUM"
74,"patronizing","Profanity","MEDIUM"
75,"sarcastic","Profanity","LOW"
76,"belittling","Profanity","MEDIUM"
77,"mocking","Profanity","MEDIUM"
78,"ridiculing","Profanity","MEDIUM"
79,"humiliating","Profanity","HIGH"
80,"embarrassing","Profanity","MEDIUM"
81,"shameful","Profanity","MEDIUM"
82,"despicable","Profanity","HIGH"
83,"contemptible","Profanity","HIGH"
84,"loathsome","Profanity","HIGH"
85,"repugnant","Profanity","HIGH"
86,"repulsive","Profanity","HIGH"
87,"detestable","Profanity","HIGH"
88,"abhorrent","Profanity","HIGH"
89,"atrocious","Profanity","HIGH"
90,"appalling","Profanity","HIGH"
91,"disgraceful","Profanity","HIGH"
92,"outrageous","Profanity","MEDIUM"
93,"scandalous","Profanity","MEDIUM"
94,"unacceptable","Profanity","LOW"
95,"intolerable","Profanity","MEDIUM"
96,"insufferable","Profanity","MEDIUM"
97,"unbearable","Profanity","MEDIUM"
98,"horrendous","Profanity","HIGH"
99,"dreadful","Profanity","MEDIUM"
100,"ghastly","Profanity","MEDIUM"
101,"grotesque","Profanity","HIGH"
102,"hideous","Profanity","MEDIUM"
103,"monstrous","Profanity","HIGH"
104,"wretched","Profanity","MEDIUM"
105,"miserable","Profanity","MEDIUM"
106,"pitiful","Profanity","MEDIUM"
107,"lame","Profanity","LOW"
108,"crappy","Profanity","MEDIUM"
109,"shoddy","Profanity","MEDIUM"
110,"lousy","Profanity","MEDIUM"
111,"rotten","Profanity","MEDIUM"
112,"stinking","Profanity","MEDIUM"
113,"filthy","Profanity","HIGH"
114,"dirty","Profanity","MEDIUM"
115,"foul","Profanity","HIGH"
116,"putrid","Profanity","HIGH"
117,"toxic","Profanity","MEDIUM"
118,"poisonous","Profanity","MEDIUM"
119,"venomous","Profanity","MEDIUM"
120,"malicious","Profanity","HIGH"
121,"spiteful","Profanity","HIGH"
122,"vindictive","Profanity","HIGH"
123,"hateful","Profanity","HIGH"
124,"bigoted","Profanity","HIGH"
125,"prejudiced","Profanity","HIGH"
126,"discriminatory","Profanity","HIGH"
127,"racist","Profanity","HIGH"
128,"sexist","Profanity","HIGH"
129,"homophobic","Profanity","HIGH"
130,"xenophobic","Profanity","HIGH"
131,"intolerant","Profanity","HIGH"
132,"narrow-minded","Profanity","MEDIUM"
133,"ignorant","Profanity","MEDIUM"
134,"backward","Profanity","MEDIUM"
135,"primitive","Profanity","MEDIUM"
136,"uncivilized","Profanity","HIGH"
137,"savage","Profanity","HIGH"
138,"barbaric","Profanity","HIGH"
139,"brutal","Profanity","HIGH"
140,"cruel","Profanity","HIGH"
141,"vicious","Profanity","HIGH"
142,"heartless","Profanity","HIGH"
143,"cold-blooded","Profanity","HIGH"
144,"ruthless","Profanity","HIGH"
145,"merciless","Profanity","HIGH"
146,"callous","Profanity","HIGH"
147,"inhumane","Profanity","HIGH"
148,"sadistic","Profanity","HIGH"
149,"twisted","Profanity","MEDIUM"
150,"perverted","Profanity","HIGH"
151,"depraved","Profanity","HIGH"
152,"corrupt","Profanity","HIGH"
153,"crooked","Profanity","MEDIUM"
154,"sleazy","Profanity","HIGH"
155,"slimy","Profanity","MEDIUM"
156,"sly","Profanity","MEDIUM"
157,"sneaky","Profanity","MEDIUM"
158,"devious","Profanity","MEDIUM"
159,"deceitful","Profanity","HIGH"
160,"dishonest","Profanity","HIGH"
161,"lying","Profanity","HIGH"
162,"cheating","Profanity","HIGH"
163,"fraudulent","Profanity","HIGH"
164,"fake","Profanity","MEDIUM"
165,"phony","Profanity","MEDIUM"
166,"bogus","Profanity","MEDIUM"
167,"sham","Profanity","MEDIUM"
168,"con artist","Profanity","HIGH"
169,"scammer","Profanity","HIGH"
170,"thief","Profanity","HIGH"
171,"crook","Profanity","HIGH"
172,"criminal","Profanity","HIGH"
173,"delinquent","Profanity","MEDIUM"
174,"hooligan","Profanity","MEDIUM"
175,"thug","Profanity","HIGH"
176,"bully","Profanity","HIGH"
177,"brute","Profanity","HIGH"
178,"monster","Profanity","HIGH"
179,"beast","Profanity","MEDIUM"
180,"animal","Profanity","MEDIUM"
181,"pig","Profanity","MEDIUM"
182,"dog","Profanity","MEDIUM"
183,"rat","Profanity","MEDIUM"
184,"snake","Profanity","MEDIUM"
185,"worm","Profanity","MEDIUM"
186,"parasite","Profanity","HIGH"
187,"leech","Profanity","MEDIUM"
188,"pest","Profanity","MEDIUM"
189,"vermin","Profanity","HIGH"
